LUCKY STRIKE Free aditive,20,320,6
LUCKY STRIKE Soft,20,300,6
LUCKY STRIKE Resized wild,20,300,6
LUCKY STRIKE Wild,20,320,6
MARLBORO RED KS,20,380,8
MARLBORO RED 100s,20,380,8
MARLBORO KS Soft,20,370,8
MARLBORO GOLD,20,380,6
MARLBORO GOLD 100s,20,380,6
MARLBORO Advance XL,20,340,5
MARLBORO Flavor Code,20,340,6
MARLBORO Flavor PLUS,20,390,6
MARLBORO Touch (Blue),20,340,6
SOBRANIE Black,20,400,6
SOBRANIE Black Refine,20,400,6
SOBRANIE White Refine,20,400,5
SOBRANIE Black Russian,20,550,8
SOBRANIE White Russian,20,550,6
SOBRANIE Coctail,20,550,8
SOBRANIE Gold,20,400,8
SOBRANIE SuperSlims Black,20,400,8
SOBRANIE SuperSlims Pink,20,400,8
DUNHILL Blonde Blend,20,400,4
DUNHILL Master Blend,20,400,6
DUNHILL Swiss Blend,20,400,8
WINSTON 100s Blue,20,320,6
WINSTON 100s Red,20,320,8
WINSTON 100s Silver,20,330,5
WINSTON Blue KS,20,320,6
WINSTON Silver KS,20,300,6
BOND Street American 100s (Blue),20,290,6
BOND Street American KS (Blue),20,290,6
BOND Street American 100s (Red),20,290,8
BOND Street American KS (Red),20,290,8
BOND Street American KS SOF,20,280,6
BOND Street CITY Slims (Violet) 100RCB,20,290,5
BOND Street CITY Slims (Rose) 100RCB,20,290,5
CAMEL Activate Double(Yellow&Purple),20,310,7
CAMEL Blue,20,310,6
CAMEL Blue 100s,20,320,6,
CAMEL Yellow,20,310,7
CAMEL Yellow 100s,20,320,7
EVE (Blue) 120 BOX,20,400,6
EVE 120 BOX SLI,20,400,7
HEETS Bronze Label,20,320,6
HEETS (Sienna Label),20,320,6
HEETS (Amber Label),20,320,6
HEETS (Yellow Label),20,320,6
HEETS (Toorquoise Label),20,320,6
HEETS (Dimension Noor),20,350,6
HEETS (Purple Wave),20,320,6
KENT 4 Neo,20,400,5
L&M Blue 100s,20,310,6
L&M Blue KS,20,300,6
L&M Red 100s,20,300,8
L&M Red KS,20,300,8
L&M Forward KS,20,300,6
L&M Loft XL (Black),20,270,8
L&M Loft XL (Blue),20,270,6
L&M Loft XL(Sea Blue),20,270,6
